epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,408.834,2.66531,3.47009,1.59507,0.16214,0.63514,0.25535,0.18217,2.30054,5.87336,1.55176,0.000532331,0.000532331,0.000532331
45,416.989,2.68576,3.46352,1.59533,0.16347,0.64712,0.25819,0.18846,2.20873,5.86293,1.5527,0.000531781,0.000531781,0.000531781
46,423.908,2.64127,3.30904,1.60359,0.17203,0.67379,0.27184,0.19423,2.33439,5.85668,1.55166,0.00053123,0.00053123,0.00053123
47,433.858,2.70551,3.32083,1.61535,0.18085,0.70405,0.29939,0.20977,2.2492,5.66582,1.54623,0.00053068,0.00053068,0.00053068
48,440.79,2.64135,3.21966,1.59532,0.20021,0.76423,0.36974,0.26298,2.32743,5.18721,1.54549,0.000530129,0.000530129,0.000530129
49,448.502,2.58415,3.08848,1.58945,0.20773,0.78813,0.40179,0.31107,2.07585,4.97505,1.54537,0.000529579,0.000529579,0.000529579
50,457.524,2.70613,3.13538,1.60452,0.22003,0.83127,0.45123,0.34961,1.99026,4.57208,1.54289,0.000529028,0.000529028,0.000529028
51,465.764,2.6517,3.12505,1.59401,0.21965,0.84228,0.46876,0.31897,2.57876,4.49002,1.55218,0.000528478,0.000528478,0.000528478
52,475.607,2.88009,3.05168,1.60789,0.22187,0.85979,0.48497,0.35225,2.35166,4.41611,1.54413,0.000527928,0.000527928,0.000527928
53,484.431,2.69905,2.94816,1.60039,0.22366,0.86722,0.50375,0.38341,2.05483,4.3496,1.54031,0.000527377,0.000527377,0.000527377
54,492.356,2.43393,2.77714,1.59228,0.22738,0.89227,0.5412,0.42217,1.92755,3.91234,1.53654,0.000526827,0.000526827,0.000526827
55,501.761,2.33645,2.66709,1.58685,0.22632,0.89952,0.55278,0.4245,1.97464,3.70016,1.54247,0.000526276,0.000526276,0.000526276
56,508.253,2.5031,2.7349,1.59245,0.22147,0.89702,0.57644,0.4273,2.13026,3.57458,1.54066,0.000525726,0.000525726,0.000525726
57,517.895,2.27874,2.65175,1.59151,0.31422,0.8594,0.5902,0.45479,2.02798,3.50757,1.5396,0.000525175,0.000525175,0.000525175
